# timestamp(s) tx ty tz qx qy qz qw
1.520531124 0.000000000 0.000000000 0.000000000 -0.003778974 -0.000973469 0.999964643 0.007448791
1.520531124 0.000000000 0.000000000 0.000000000 -0.003776329 0.002533170 0.999982054 0.003900557
1.520531124 0.000000000 0.000000000 0.000000000 -0.003890295 0.003227209 0.999978698 0.004129677
1.520531124 0.000000000 0.000000000 0.000000000 -0.003892896 0.001306326 0.999974186 0.005896241
1.520531124 0.000000000 0.000000000 0.000000000 -0.003650842 -0.004409389 0.999959024 0.007012718
1.520531124 0.000000000 0.000000000 0.000000000 -0.003386468 -0.013062156 0.999890574 0.006062296
1.520531124 0.000000000 0.000000000 0.000000000 -0.003807212 -0.016664843 0.999836729 0.005856923
1.520531125 0.000000000 0.000000000 0.000000000 -0.004635220 -0.014614485 0.999838360 0.009390677
1.520531125 0.000000000 0.000000000 0.000000000 -0.004941460 -0.011104019 0.999841755 0.012990294
1.520531125 0.000000000 0.000000000 0.000000000 -0.004450442 -0.007883669 0.999895320 0.011286734
1.520531125 0.000000000 0.000000000 0.000000000 -0.003521840 -0.006610925 0.999967464 0.002993721
1.520531125 0.000000000 0.000000000 0.000000000 0.003130702 0.005042925 -0.999961772 0.006420418
1.520531125 0.000000000 0.000000000 0.000000000 0.002966004 0.004822676 -0.999937762 0.009613381
1.520531125 0.000000000 0.000000000 0.000000000 0.003331070 0.003981987 -0.999968743 0.005963215
1.520531125 0.000000000 0.000000000 0.000000000 -0.004079061 0.000655363 0.999991339 0.000503584
1.520531125 0.000000000 0.000000000 0.000000000 -0.004500673 0.002933788 0.999966056 0.006246842
1.520531125 0.000000000 0.000000000 0.000000000 -0.004435809 0.002444977 0.999959248 0.007473128
1.520531125 0.000000000 0.000000000 0.000000000 -0.004065272 0.000372162 0.999979715 0.004889256
1.520531125 0.000000000 0.000000000 0.000000000 -0.003907620 -0.001023555 0.999991186 0.001144889
1.520531125 0.000000000 0.000000000 0.000000000 0.003837134 0.002190664 -0.999990120 0.000486649
1.520531125 0.000000000 0.000000000 0.000000000 0.003758704 0.001959427 -0.999990965 0.000319807
1.520531125 0.000000000 0.000000000 0.000000000 -0.003664031 -0.002504751 0.999990042 0.000465488
1.520531125 0.000000000 0.000000000 0.000000000 -0.003677217 -0.002931273 0.999987569 0.001657493
1.520531125 0.000000000 0.000000000 0.000000000 -0.003738651 -0.003115654 0.999982386 0.003397370
1.520531125 0.000000000 0.000000000 0.000000000 -0.003841082 -0.002538908 0.999978442 0.004681320
1.520531125 0.000000000 0.000000000 0.000000000 -0.003816633 -0.001278725 0.999980416 0.004792270
1.520531125 0.000000000 0.000000000 0.000000000 -0.003663200 -0.000396780 0.999987241 0.003455528
1.520531126 0.000000000 0.000000000 0.000000000 -0.003502174 -0.000418238 0.999993018 0.001234123
1.520531126 0.000000000 0.000000000 0.000000000 0.003344743 0.000442305 -0.999993942 0.000856385
1.520531126 0.000000000 0.000000000 0.000000000 0.003180019 0.000953263 -0.999991850 0.002297706
